Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
Virtua Partners,Emerging,Addison Corporate Center,Windsor,CT,Office,Equity,Opportunistic,34.9,2.46,,,3,,15,25000,64.65,Accredited Investors Only,No,No,,10/17/2016,Closed,,,,,9/11/2019,,,,
Mascia Development,Seasoned,Cincinnati Medical Portfolio,Multiple Locations,OH,Office,Equity,Core Plus,15.2,3.25,9,Monthly,10,11/21/2016,,10000,57.42,Accredited Investors Only,No,No,,10/13/2016,Closed,1/2/1900,1/2/1900,6/15/2018,6/15/2018,3/8/2018,0.12,0.35,,
Fiola Communities,Emerging,San Dimas Apartments,San Dimas,CA,Multifamily,Equity,Value Add,27.7,1.55,1,Quarterly,2,12/31/2017,8,30000,66.3,Accredited Investors Only,No,No,,10/5/2016,Closed,,,,,3/14/2018,,,,
Block Funds,Tenured,Village at Juban Lakes,Denham Springs,LA,Multifamily,Equity,Core Plus,14.3,2.9,9.9,Monthly,10,4/1/2018,,37633,70.06,Accredited Investors Only,No,No,,9/28/2016,Closed,8/31/2016,8/31/2016,9/10/2019,9/10/2019,4/12/2019,0.17,0.51,,
O'Donnell Group,Tenured,E-Commerce Distribution Center,Memphis,TN,Industrial,Equity,Value Add,25.2,2.93,7.7,Quarterly,5,,10,50000,72,Accredited Investors Only,No,No,,9/18/2016,Closed,1/31/2017,1/8/2018,6/30/2019,6/24/2019,3/25/2019,1.25,3.75,,
Alpha Capital Partners,Seasoned,Front Street Properties,Memphis,TN,Multifamily,Equity,Core Plus,19.9,2.24,12.6,Monthly,5,,8,10000,76.71,Accredited Investors Only,No,No,,9/15/2016,Closed,10/31/2016,11/18/2016,11/30/2018,12/24/2018,3/29/2019,0.09,0.28,,
Mirzam Venture Capital,Emerging,Fountains of Fellsmere,Fellsmere,FL,Senior Housing,Mezzanine Debt,Development,11.2,1.6,8,Quarterly,5,,7,20000,19.2,Accredited Investors Only,No,No,,9/11/2016,Closed,9/30/2016,10/18/2016,12/31/2018,1/14/2019,,0.2,0.59,,
Charter Stone Capital,Seasoned,Entrance at Lakeway,Lakeway,TX,Retail,Equity,Value Add,20.7,1.5,7.6,Monthly,2,,10,25000,60,Accredited Investors Only,No,No,,9/9/2016,Closed,9/30/2016,10/5/2016,12/31/2018,1/1/2019,2/21/2019,0.22,0.66,,
Olympus Property,Tenured,Olympus Fund V,Multiple Locations,Multiple Locations,Multifamily,Equity Fund,Core,10,1.54,7.8,Quarterly,6,,7,25000,72,Accredited Investors Only,No,No,,8/26/2016,Closed,2/28/2015,2/1/2016,3/31/2019,3/31/2019,10/3/2019,0.35,1.05,,
ScanlanKemperBard,Tenured,Hoyt20,Portland,OR,Multifamily,Equity,Development,17.3,2.2,10.7,,7,,,25000,,Accredited Investors Only,No,No,,8/25/2016,Realized,12/31/2018,11/15/2018,6/30/2019,6/10/2019,4/22/2019,1.58,4.74,,27.48
